[2021-12-06 10:53:31.079002]
episode,timesteps
[2021-12-06 10:53:33.156481]
00, 16
01, 27
02, 13
03, 10
04, 53
05, 11
06, 41
07, 08
08, 09
09, 09
10, 09
11, 09
12, 09
13, 12
14, 09
15, 08
16, 11
17, 08
18, 09
19, 10
20, 11
21, 13
22, 09
23, 10
24, 08
25, 09
26, 08
27, 10
28, 11
29, 12
30, 09
31, 09
32, 16
33, 11
34, 10
35, 16
36, 13
37, 09
38, 09
39, 09
40, 11
41, 09
42, 31
43, 09
44, 12
45, 12
46, 21
47, 16
48, 19
49, 09
50, 14
51, 13
52, 09
53, 11
54, 18
55, 10
56, 09
57, 09
58, 10
59, 10
60, 09
61, 10
62, 10
63, 11
64, 09
65, 10
66, 11
67, 10
68, 09
69, 22
70, 83
71, 24
72, 28
73, 38
74, 28
75, 43
76, 22
77, 69
78, 19
79, 22
80, 26
81, 81
82, 26
83, 50
84, 31
85, 73
86, 22
87, 27
88, 23
89, 98
90, 118
91, 126
92, 30
93, 21
94, 77
95, 27
96, 110
97, 190
98, 176
99, 158
